community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
建元南花园,芗城区,江滨,建元南花园 2室2厅 87.44平米,2室2厅,87.44,,,77,8864元,2023-09-03,市场信息,https://zhangzhou.esf.fang.com/chengjiao/15519_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 44.56平米,1室1厅,44.56,,,60,13645元,2023-08-11,市场信息,https://zhangzhou.esf.fang.com/chengjiao/15245_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 41.75平米,1室1厅,41.75,,,55,13174元,2023-08-02,市场信息,https://zhangzhou.esf.fang.com/chengjiao/15217_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 116.51平米,3室2厅,116.51,,,142,12188元,2023-08-01,市场信息,https://zhangzhou.esf.fang.com/chengjiao/15200_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 38.26平米,1室1厅,38.26,,,52,13749元,2023-07-29,市场信息,https://zhangzhou.esf.fang.com/chengjiao/15190_1_2.htm
建元南花园,芗城区,江滨,建元南花园 2室2厅 85.55平米,2室2厅,85.55,,,108,12625元,2023-06-10,市场信息,https://zhangzhou.esf.fang.com/chengjiao/14489_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 150.69平米,3室2厅,150.69,,,135,8959元,2023-05-15,市场信息,https://zhangzhou.esf.fang.com/chengjiao/14049_1_2.htm
建元南花园,芗城区,江滨,建元南花园 38.26平米,,38.26,,,53,13853元,2023-05-06,市场信息,https://zhangzhou.esf.fang.com/chengjiao/13938_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 111.39平米,3室2厅,111.39,,,142,12801元,2023-05-05,市场信息,https://zhangzhou.esf.fang.com/chengjiao/13006_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 44.56平米,1室1厅,44.56,,,58,13196元,2023-04-22,市场信息,https://zhangzhou.esf.fang.com/chengjiao/12981_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 41.75平米,1室1厅,41.75,,,54,13054元,2023-03-19,市场信息,https://zhangzhou.esf.fang.com/chengjiao/12632_1_2.htm
